operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_F0479D1991,2026-07-05,Modena,ASESOR_E5897908D5,sin_clasificar,0.629682,P1,24,24085.34,Contactar en 24h y confirmar siguiente hito de cierre.,429,real_source:ranking_operaciones_riesgo_caida.parquet
OP_3BFCF51AF3,2026-07-05,Sialia,ASESOR_1265C8A465,sin_clasificar,0.628892,P1,24,74721.85,Contactar en 24h y confirmar siguiente hito de cierre.,8,real_source:ranking_operaciones_riesgo_caida.parquet
OP_23E0210ACE,2026-07-05,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,0.627211,P1,24,16525.92,Contactar en 24h y confirmar siguiente hito de cierre.,632,real_source:ranking_operaciones_riesgo_caida.parquet
OP_FFB5E8B1BF,2026-07-05,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,0.626983,P1,24,93577.18,Contactar en 24h y confirmar siguiente hito de cierre.,2,real_source:ranking_operaciones_riesgo_caida.parquet
OP_2D6D8726D2,2026-07-05,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,0.625434,P1,24,18763.03,Contactar en 24h y confirmar siguiente hito de cierre.,591,real_source:ranking_operaciones_riesgo_caida.parquet
OP_85D626EEE5,2026-07-05,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,0.625434,P1,24,18293.96,Contactar en 24h y confirmar siguiente hito de cierre.,601,real_source:ranking_operaciones_riesgo_caida.parquet
OP_ECE239F814,2026-07-05,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,0.624462,P1,24,47998.04,Contactar en 24h y confirmar siguiente hito de cierre.,61,real_source:ranking_operaciones_riesgo_caida.parquet
OP_17A2083F16,2026-07-05,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,0.62442,P1,24,53594.52,Contactar en 24h y confirmar siguiente hito de cierre.,34,real_source:ranking_operaciones_riesgo_caida.parquet
OP_AF5BD5B2DB,2026-07-05,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,0.624305,P1,24,67068.74,Contactar en 24h y confirmar siguiente hito de cierre.,11,real_source:ranking_operaciones_riesgo_caida.parquet
OP_4A9C11399A,2026-07-05,Sialia,ASESOR_233077BA7F,sin_clasificar,0.622671,P1,24,22042.54,Contactar en 24h y confirmar siguiente hito de cierre.,509,real_source:ranking_operaciones_riesgo_caida.parquet
OP_4B5069507B,2026-07-05,Fenix,ASESOR_E05C20E0FE,sin_clasificar,0.621939,P1,24,70630.45,Contactar en 24h y confirmar siguiente hito de cierre.,9,real_source:ranking_operaciones_riesgo_caida.parquet
OP_55C17E6036,2026-07-05,Tizón y Bueno,ASESOR_9FCF63DC91,sin_clasificar,0.618214,P1,24,56972.73,Contactar en 24h y confirmar siguiente hito de cierre.,19,real_source:ranking_operaciones_riesgo_caida.parquet
